Name,Cost,Collections,Cuisines,N_collections,open time,closing time
Feast - Sheraton Hyderabad Hotel,2500,"['Sunday Brunches', 'Great Breakfasts', 'Function Venues', 'Ramzan Mubarak']","['Modern Indian', 'Asian', 'Continental', 'Italian']",4,6,23
Being Hungry,450,,"['North Indian', 'Chinese']",0,12,23
Tempteys,350,['Best Milkshakes'],"['Desserts', 'Beverages']",1,11,1
KS Bakers,200,,"['Bakery', 'Desserts', 'Fast Food']",0,9,22
PourHouse7,1200,"['Happy Hours', 'Top Drinking Destinations', 'Corporate Favorites']","['North Indian', 'Continental', 'Chinese', 'Italian']",3,12,1
Prism Club & Kitchen,1200,"['Sneak Peek Hyderabad', 'Best Bars & Pubs', 'Gigs and Events']","['Kebab', 'Continental', 'Italian', 'North Indian']",3,5,24
Shree Santosh Dhaba Family Restaurant,500,,"['North Indian', 'Chinese', 'Fast Food']",0,11,23
Dine O China,850,,"['Chinese', 'Asian', 'Momos']",0,11,23
Hyderabad Chefs,600,,"['North Indian', 'Chinese']",0,12,22
Komatose - Holiday Inn Express & Suites,1500,"['Happy Hours', 'Top-Rated', 'Gold Curated']","['North Indian', 'Chinese', 'Japanese', 'Sushi']",3,1,23
Aromas@11SIX,750,,"['North Indian', 'Chinese', 'Mughlai', 'Biryani']",0,11,24
Yum Yum Tree - The Arabian Food Court,1200,['Food Hygiene Rated Restaurants in Hyderabad'],"['North Indian', 'Hyderabadi']",1,12,24
The Tilt Bar Republic,1500,"['Gigs and Events', 'Corporate Favorites']","['North Indian', 'Continental', 'Italian']",2,12,24
The Indi Grill,1500,"['Food Hygiene Rated Restaurants in Hyderabad', 'Great Buffets', ""Hyderabad's Hottest""]","['BBQ', 'Asian', 'Modern Indian']",3,12,23
Urban Asia - Kitchen & Bar,1100,,"['Asian', 'Thai', 'Chinese', 'Sushi', 'Momos']",0,12,23
Eat India Company,1300,,"['North Indian', 'Mughlai', 'Beverages']",0,12,23
Labonel,1000,['Best Bakeries'],"['Bakery', 'Desserts']",1,11,8
Driven Cafe,600,,"['Cafe', 'Fast Food', 'Beverages']",0,4,24
Faasos,600,,"['Fast Food', 'Biryani', 'Desserts']",0,9,1
Royal Spicy Restaurant,700,,"['North Indian', 'South Indian']",0,10,23
The Old Madras Baking Company,350,,['Bakery'],0,7,23
Squeeze @ The Lime,650,['Veggie Friendly'],"['Italian', 'North Indian', 'Chinese', 'Salad']",1,7,23
Khaan Saab,1100,['New on Gold'],"['North Indian', 'Mughlai']",1,12,23
Olive Garden,700,,"['North Indian', 'Chinese', 'Continental', 'Biryani']",0,12,23
Tandoori Food Works,500,['Brilliant Biryanis'],"['North Indian', 'Burger', 'Kebab']",1,12,1
